Date,Open,High,Low,Close,Adj Close,Volume
08/12/2014,114.099998,114.650002,111.620003,112.400002,103.275063,57664900
09/12/2014,110.190002,114.300003,109.349998,114.120003,104.855431,60208000
10/12/2014,114.410004,114.849998,111.540001,111.949997,102.86161,44565300
11/12/2014,112.260002,113.800003,111.339996,111.620003,102.558395,41401700
12/12/2014,110.459999,111.870003,109.580002,109.730003,100.821831,56028100
15/12/2014,110.699997,111.599998,106.349998,108.230003,99.443619,67218100
16/12/2014,106.370003,110.160004,106.260002,106.75,98.08374,60790700
17/12/2014,107.120003,109.839996,106.82,109.410004,100.527809,53411800
18/12/2014,111.870003,112.650002,110.660004,112.650002,103.504761,59006200
19/12/2014,112.260002,113.239998,111.660004,111.779999,102.705391,88429800
22/12/2014,112.160004,113.489998,111.970001,112.940002,103.771225,45167500
23/12/2014,113.230003,113.330002,112.459999,112.540001,103.403709,26028400
24/12/2014,112.580002,112.709999,112.010002,112.010002,102.916725,14479600
26/12/2014,112.099998,114.519997,112.010002,113.989998,104.735992,33721000
29/12/2014,113.790001,114.769997,113.699997,113.910004,104.662506,27598900
30/12/2014,113.639999,113.919998,112.110001,112.519997,103.385315,29881500
31/12/2014,112.82,113.129997,110.209999,110.379997,101.41906,41403400
02/01/2015,111.389999,111.440002,107.349998,109.330002,100.4543,53204600
05/01/2015,108.290001,108.650002,105.410004,106.25,97.624336,64285500
06/01/2015,106.540001,107.43,104.629997,106.260002,97.633545,65797100
07/01/2015,107.199997,108.199997,106.699997,107.75,99.002556,40105900
08/01/2015,109.230003,112.150002,108.699997,111.889999,102.80648,59364500
09/01/2015,112.669998,113.25,110.209999,112.010002,102.916725,53699500
12/01/2015,112.599998,112.629997,108.800003,109.25,100.380791,49650800
13/01/2015,111.43,112.800003,108.910004,110.220001,101.272049,67091900
14/01/2015,109.040001,110.489998,108.5,109.800003,100.886154,48956600
15/01/2015,110,110.059998,106.660004,106.82,98.148056,60014000
16/01/2015,107.029999,107.580002,105.199997,105.989998,97.385445,78513300
20/01/2015,107.839996,108.970001,106.5,108.720001,99.893822,49899900
21/01/2015,108.949997,111.059998,108.269997,109.550003,100.656441,48575900
22/01/2015,110.260002,112.470001,109.720001,112.400002,103.275063,53796400
23/01/2015,112.300003,113.75,111.529999,112.980003,103.807991,46464800
26/01/2015,113.739998,114.360001,112.800003,113.099998,103.918228,55615000
27/01/2015,112.419998,112.480003,109.029999,109.139999,100.279716,95568700
28/01/2015,117.629997,118.120003,115.309998,115.309998,105.948822,146477100
29/01/2015,116.32,119.190002,115.559998,118.900002,109.247391,84436400
30/01/2015,118.400002,120,116.849998,117.160004,107.648643,83745500
02/02/2015,118.050003,119.169998,116.080002,118.629997,108.999298,62739100
03/02/2015,118.5,119.089996,117.610001,118.650002,109.017654,51915700
04/02/2015,118.5,120.510002,118.309998,119.559998,109.853806,70149700
05/02/2015,120.019997,120.230003,119.25,119.940002,110.637886,42246200
06/02/2015,120.019997,120.25,118.449997,118.93,109.7062,43706600
09/02/2015,118.550003,119.839996,118.43,119.720001,110.434944,38889800
10/02/2015,120.169998,122.150002,120.160004,122.019997,112.556557,62008500
11/02/2015,122.769997,124.919998,122.5,124.879997,115.194748,73561800
12/02/2015,126.059998,127.480003,125.57,126.459999,116.652199,74474500
13/02/2015,127.279999,127.279999,125.650002,127.080002,117.224121,54272200
17/02/2015,127.489998,128.880005,126.919998,127.830002,117.915962,63152400
18/02/2015,127.629997,128.779999,127.449997,128.720001,118.736946,44891700
19/02/2015,128.479996,129.029999,128.330002,128.449997,118.487869,37362400
20/02/2015,128.619995,129.5,128.050003,129.5,119.456444,48948400
23/02/2015,130.020004,133,129.660004,133,122.684975,70974100
24/02/2015,132.940002,133.600006,131.169998,132.169998,121.919357,69228100
25/02/2015,131.559998,131.600006,128.149994,128.789993,118.801491,74711700
26/02/2015,128.789993,130.869995,126.610001,130.419998,120.305084,91287500
27/02/2015,130,130.570007,128.240005,128.460007,118.497116,62014800
02/03/2015,129.25,130.279999,128.300003,129.089996,119.078239,48096700
03/03/2015,128.960007,129.520004,128.089996,129.360001,119.327293,37816300
04/03/2015,129.100006,129.559998,128.320007,128.539993,118.570885,31666300
05/03/2015,128.580002,128.75,125.760002,126.410004,116.606094,56517100
06/03/2015,128.399994,129.369995,126.260002,126.599998,116.781349,72842100
09/03/2015,127.959999,129.570007,125.059998,127.139999,117.279457,88528500
10/03/2015,126.410004,127.220001,123.800003,124.510002,114.853432,68856600
11/03/2015,124.75,124.769997,122.110001,122.239998,112.759514,68939000
12/03/2015,122.309998,124.900002,121.629997,124.449997,114.798103,48362700
13/03/2015,124.400002,125.400002,122.580002,123.589996,114.004791,51827300
16/03/2015,123.879997,124.949997,122.870003,124.949997,115.259315,35874300
17/03/2015,125.900002,127.32,125.650002,127.040001,117.187233,51023100
18/03/2015,127,129.160004,126.370003,128.470001,118.50631,65270900
19/03/2015,128.75,129.25,127.400002,127.5,117.611565,45809500
20/03/2015,128.25,128.399994,125.160004,125.900002,116.135651,68695100
23/03/2015,127.120003,127.849998,126.519997,127.209999,117.344032,37709700
24/03/2015,127.230003,128.039993,126.559998,126.690002,116.864365,32842300
25/03/2015,126.540001,126.82,123.379997,123.379997,113.811096,51655200
26/03/2015,122.760002,124.879997,122.599998,124.239998,114.604393,47572900
27/03/2015,124.57,124.699997,122.910004,123.25,113.69117,39546200
30/03/2015,124.050003,126.400002,124,126.370003,116.569206,47099700
31/03/2015,126.089996,126.489998,124.360001,124.43,114.779648,42090600
01/04/2015,124.82,125.120003,123.099998,124.25,114.613602,40621400
02/04/2015,125.029999,125.559998,124.190002,125.32,115.600616,32220100
06/04/2015,124.470001,127.510002,124.330002,127.349998,117.47319,37194000
07/04/2015,127.639999,128.119995,125.980003,126.010002,116.237122,35012300
08/04/2015,125.849998,126.400002,124.970001,125.599998,115.85891,37329200
09/04/2015,125.849998,126.580002,124.660004,126.559998,116.744446,32484000
10/04/2015,125.949997,127.209999,125.260002,127.099998,117.242592,40188000
13/04/2015,128.369995,128.570007,126.610001,126.849998,117.011948,36365100
14/04/2015,127,127.290001,125.910004,126.300003,116.504623,25524600
15/04/2015,126.410004,127.129997,126.010002,126.779999,116.94738,28970400
16/04/2015,126.279999,127.099998,126.110001,126.169998,116.384705,28369000
17/04/2015,125.550003,126.139999,124.459999,124.75,115.074821,51957000
20/04/2015,125.57,128.119995,125.169998,127.599998,117.703796,47054300
21/04/2015,128.100006,128.199997,126.669998,126.910004,117.067322,32435100
22/04/2015,126.989998,128.869995,126.32,128.619995,118.644707,37654500
23/04/2015,128.300003,130.419998,128.139999,129.669998,119.613266,45770900
24/04/2015,130.490005,130.630005,129.229996,130.279999,120.175949,44525900
27/04/2015,132.309998,133.130005,131.149994,132.649994,122.362091,96954200
28/04/2015,134.460007,134.539993,129.570007,130.559998,120.434235,118924000
29/04/2015,130.160004,131.589996,128.300003,128.639999,118.663147,63386100
30/04/2015,128.639999,128.639999,124.580002,125.150002,115.44381,83195400
01/05/2015,126.099998,130.130005,125.300003,128.949997,118.949089,58512600
04/05/2015,129.5,130.570007,128.259995,128.699997,118.718491,50988300
05/05/2015,128.149994,128.449997,125.779999,125.800003,116.043396,49271400
06/05/2015,126.559998,126.75,123.360001,125.010002,115.314674,72141000
07/05/2015,124.769997,126.080002,124.019997,125.260002,116.027908,43940900
08/05/2015,126.68,127.620003,126.110001,127.620003,118.213974,55550400
11/05/2015,127.389999,127.559998,125.629997,126.32,117.009789,42035800
12/05/2015,125.599998,126.879997,124.82,125.870003,116.592957,48160000
13/05/2015,126.150002,127.190002,125.870003,126.010002,116.722656,34694200
